network,location_idx,alpha,beta,extinction_prob,mean_activity,amplitude,period,Q,RI,RI_max,frac_rhythmic,class,n_survivors,n_total
net_A,0,0.0074989420933245,0.8,0.6,2379.937125,229.08382431682668,19.93984962406015,2.9732142857142856,1.5635429115601354,1.7713553349320803,0.0,WEAKLY_RHYTHMIC,4.0,10
net_A,0,0.0074989420933245,0.85,0.6,2447.151625,217.32161962650346,15.611759413617,3.3249999999999997,1.4491120094868668,1.6024083945637329,0.0,WEAKLY_RHYTHMIC,4.0,10
net_A,0,0.0074989420933245,0.9,0.5,2507.0397,231.0122689029326,19.733697881066302,4.361904761904762,1.329801480388513,1.681286761043185,0.0,WEAKLY_RHYTHMIC,5.0,10
net_A,0,0.0074989420933245,0.95,0.5,2564.2501,230.31021961234143,37.16302521008403,4.266666666666667,1.131514927672454,1.575136527366521,0.0,WEAKLY_RHYTHMIC,5.0,10
net_A,0,0.0074989420933245,1.0,0.4,2615.5750000000003,244.2090442332594,20.105820105820104,3.875,1.4715235853183313,1.7737024737825653,0.0,WEAKLY_RHYTHMIC,6.0,10
net_A,0,0.01,0.05,0.1,465.82261111111114,133.69734882148862,29.206172839506173,2.4166666666666665,1.9072179267095417,2.2758026562301827,0.4444444444444444,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.1,0.1,865.2836666666667,126.93175583942282,19.754171754171754,2.474074074074074,1.8551738092504333,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.15,0.3,1217.2585714285713,125.70280034829803,15.899346405228759,2.8981292517006803,1.8783924552260711,1.999,0.0,WEAKLY_RHYTHMIC,7.0,10
net_A,0,0.01,0.2,0.2,1527.002875,136.11008664805186,13.67780972037938,2.93859126984127,1.7922491626152341,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.01,0.25,0.1,1802.6688333333334,141.29591160852198,12.710877907781933,3.1524691358024692,1.6944565552034665,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.3,0.2,2048.8881875,155.53126827070932,11.410623000188217,2.9662247474747474,1.7371427745728505,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.01,0.35,0.5,2270.3255,170.12992864584936,10.374133126133126,2.6528571428571426,1.6866285161082075,1.973847790039393,0.0,WEAKLY_RHYTHMIC,5.0,10
net_A,0,0.01,0.4,0.3,2469.758214285714,181.42245238163295,10.491603634460777,4.177798392084107,1.6736071585480636,1.999,0.0,WEAKLY_RHYTHMIC,7.0,10
net_A,0,0.01,0.45,0.2,2653.9088125,185.72116979937326,9.761712330647864,4.170386904761905,1.6917475376785562,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.01,0.5,0.2,2818.4148125,202.5497828247384,8.190879924963546,5.6352182539682545,1.5684825512980114,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.01,0.55,0.2,2970.2635,214.29669536191778,8.159371564043422,4.767857142857142,1.5815625440996213,1.8363012137241947,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.01,0.6,0.1,3109.357555555556,224.30232907897886,7.602456245424831,6.18312324929972,1.557481841415988,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.65,0.2,3239.23575,223.27326688275485,7.495175856845686,4.166964285714286,1.5834228956925425,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.01,0.7,0.1,3358.9103333333333,233.30579833160857,7.475965485431341,5.826807760141094,1.5220863904029214,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.75,0.0,3466.3767999999995,256.0085199151298,7.555263903136352,5.943903318903319,1.4031360080190567,1.883295209834834,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.01,0.8,0.1,3570.6227777777776,257.07591819746335,7.020915534427481,6.719753086419753,1.3533450742545128,1.9856288610243569,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.85,0.1,3666.9683888888885,261.1604885321497,6.4278226958853315,6.6064213564213565,1.2465048579740352,1.9546580140413268,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.9,0.1,3754.8517222222226,276.787038612315,7.208966135417749,9.511471861471861,1.537650106513978,1.924006985001824,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.01,0.95,0.3,3842.061142857143,264.6350838531624,6.522259705013051,9.493073593073593,1.2225139142197645,1.504824728313297,0.0,WEAKLY_RHYTHMIC,7.0,10
net_A,0,0.01,1.0,0.3,3920.8135,269.1565699556654,5.658642575586097,9.523639455782314,0.8793978965562236,1.675874135712037,0.0,ARRHYTHMIC,7.0,10
net_A,0,0.0133352143216332,0.05,0.1,582.9750555555555,179.91839068431264,23.94949494949495,2.3666666666666667,1.9547858487205083,2.1590414202414867,0.3333333333333333,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.1,0.1,1083.8509999999999,168.30270147554828,15.719271490272522,2.4910213243546577,1.8753618102722425,2.030492658222145,0.1111111111111111,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.15,0.0,1523.7214,164.2047712712975,12.544001043451845,3.463636363636364,1.6837375475326746,1.999,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.2,0.1,1910.8300000000002,164.2986156921044,10.988706687837123,3.1388007054673723,1.8273817707514124,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.25,0.0,2254.03725,168.99524619674852,9.59168839342588,4.134230769230769,1.625380151298566,1.9902631548034018,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.3,0.2,2561.6794999999997,174.48198142742456,8.763744107209067,3.8123057498057498,1.5778095920262551,1.9035953147370628,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.0133352143216332,0.35,0.1,2835.7415555555554,193.80681361469885,7.661570932571964,6.071937321937322,1.4973367975495846,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.4,0.0,3084.8419000000004,201.1383478934058,7.324732508633437,4.849359774212715,1.6680632116993905,1.999,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.45,0.0,3310.17515,211.87535010270017,7.602464985994398,3.1077777777777778,1.3484588840970269,1.999,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.5,0.1,3515.7836666666667,221.27255887899062,7.02952287578186,7.806461439794774,1.2781190221404073,1.8109150273906678,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.55,0.0,3704.0888,227.28477293674823,6.373297635906331,5.694047619047619,1.4798770200621139,1.999,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.6,0.0,3874.9286500000003,244.01044497908464,6.224938007621934,5.997748917748917,1.5206673801452806,1.999,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.65,0.1,4035.4727777777775,246.3035451426379,5.641645898829058,4.80796661659833,1.3154338107056498,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.7,0.2,4182.0976875,249.250011532087,5.478834622597315,5.815002705627705,1.0839972578394637,1.590069676994828,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.0133352143216332,0.75,0.0,4316.4743,266.31779556919065,5.241155484734697,7.650686274509804,1.2885569124138818,1.8263477688727838,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,0.8,0.2,4443.4686249999995,269.52262502662893,5.061533246517186,7.070571789321789,1.1479951438512277,1.465636369544952,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.0133352143216332,0.85,0.2,4561.8576875,277.11052140916047,4.999821108757279,7.72797619047619,0.7791782262740938,1.41362690780826,0.0,ARRHYTHMIC,8.0,10
net_A,0,0.0133352143216332,0.9,0.1,4671.629888888889,277.8869465582342,4.901243307140106,7.867813051146385,1.2980281861980838,1.695991839770416,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0133352143216332,0.95,0.0,4774.52865,289.12097534443615,4.734977979142918,9.61470584970585,1.0694501048192344,1.403260597372444,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0133352143216332,1.0,0.0,4870.3385499999995,296.6026760095214,4.492631858094105,7.272777777777778,1.1386283311047807,1.993960151144675,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.05,0.0,671.512,216.33613571796224,19.802857142857142,3.125,1.8156115133021182,2.451260543883462,0.2,WEAKLY_RHYTHMIC,10.0,10
