constant,default,multiplier,value,ordering_valid,n,eo_mean,ec_mean,dz,t,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,dz_norej,p_norej,n_up_norej,rho_Q_RI,top1_frac_below2,frac_label_changed,rank_corr_vs_base,frac_rhythmic,exemplar_RI,comparison_RI,maxQ_RI,all_conclusions_hold
t_cw,0.3,0.95,0.285,True,15,1.1866246941233451,1.9121874918231634,1.4229160988378682,5.510930353849489,7.671633018985876e-05,15,0.4870848708487085,0.031914893617021274,1.5023222239104268,2.019589641383544e-06,20,-0.01977161374112007,1.0,0.002512983749371754,0.9950676823772171,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.0,0.3,True,15,1.1782450229627757,1.9044612644241876,1.4162466288494815,5.485099607656439,8.034368364749361e-05,15,0.4870848708487085,0.031914893617021274,1.4918770003413175,2.2206792742972393e-06,20,-0.004841888292618622,1.0,0.0,1.0,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.05,0.315,True,15,1.1696107569727234,1.8940805491988277,1.4072731186901195,5.450345352252206,8.55084695274417e-05,15,0.4870848708487085,0.031914893617021274,1.4799783467416165,2.4751367948199695e-06,20,0.009917510048104887,1.0,0.008879209247780198,0.9955300051337298,0.03937007874015748,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.1,0.33,True,15,1.1608769015889342,1.882988558658272,1.3985303700169258,5.41648483224085,9.087389604293468e-05,15,0.4870848708487085,0.031914893617021274,1.469022830928166,2.7360461106945106e-06,20,0.024392398202551513,1.0,0.01750712012062322,0.9851209962910272,0.0336739822415815,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.15,0.345,True,15,1.1520633587161206,1.8711058386600534,1.3936963925660428,5.39776291807764,9.39899802280129e-05,15,0.4870848708487085,0.031914893617021274,1.464941094969369,2.840369940811067e-06,20,0.03815388288636004,1.0,0.024459708493885072,0.9716188101112123,0.02956944211760764,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.2,0.36,True,15,1.1433235876225247,1.8581941999475964,1.3878707915455346,5.37520046234356,9.789374711632557e-05,15,0.4870848708487085,0.031914893617021274,1.4544047389852306,3.12906448612549e-06,20,0.050782376045477,1.0,0.03183112749204222,0.9563275598449391,0.025464901993633774,2.3286719786455947,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.25,0.375,True,15,1.1346595253575922,1.8439059602206258,1.3811766937220038,5.349274332955143,0.00010258878853502901,15,0.4833948339483395,0.031914893617021274,1.4458819381377954,3.3846495257701937e-06,20,0.06286966180008108,1.0,0.039202546490199365,0.9406740046454205,0.02194672474451332,2.2817776735169266,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.3,0.39,True,15,1.1263681471259126,1.823315512483822,1.3492542656215867,5.225639300551723,0.0001284271715226014,15,0.46494464944649444,0.031914893617021274,1.4205080802732386,4.280810494691379e-06,20,0.074606907398993,1.0,0.04556877198860781,0.9253037869953585,0.018931144245267213,2.238080707374304,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.35,0.405,True,15,1.1189719288062074,1.8102032458274442,1.343306228503408,5.202602651850394,0.00013394668658785097,15,0.46494464944649444,0.031914893617021274,1.4141922379846186,4.539752750424997e-06,20,0.08556569866092972,1.0,0.05185123136203719,0.9106754559324901,0.01650192662087452,2.197264859878448,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.4,0.42,True,15,1.1117222446120754,1.7972548495357747,1.341418353417775,5.195290943084017,0.00013574965588833212,15,0.4612546125461255,0.031914893617021274,1.4108955853723975,4.681268496251119e-06,20,0.09598830555727134,1.0,0.056123303735969174,0.8971193684379786,0.014910370246272408,2.15905427924403,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,1.45,0.435,True,15,1.0984753635939986,1.7822843901034313,1.3546354912599041,5.246480697831112,0.00012363733159141257,15,0.4575645756457565,0.010638297872340425,1.4224493671176697,4.204315834350832e-06,20,0.10601057545344231,1.0,0.06324342435918914,0.8843468762866661,0.011727257497068185,2.1357655604310164,1.3419616672802244,1.4121943241023478,False
t_cw,0.3,1.5,0.45,True,15,1.0920835185639357,1.766646023774493,1.3473965669262018,5.218444464442227,0.00013012517855665544,15,0.45018450184501846,0.010638297872340425,1.4287391365298587,3.966006899490741e-06,20,0.11569349680932095,1.0,0.06935835148266041,0.8727314043331267,0.009549338247612666,2.1357655604310164,1.3419616672802244,1.4121943241023478,False
t_r,0.4,0.5,0.2,False,15,1.5895940004492708,2.54597821198764,1.4681685106865474,5.686192191315144,5.6208311400221284e-05,15,0.8708487084870848,0.574468085106383,1.767994877189087,1.994024864221028e-07,20,-0.09872393405591878,0.975,0.18989780532752554,0.8229954824772929,0.23454514994136372,2.556444317841983,1.3419616672802244,1.4121943241023478,False
t_r,0.4,0.55,0.22,True,15,1.5028873148093609,2.4867762382249845,1.5881071046150468,6.150712368167757,2.5157644446131862e-05,15,0.8523985239852399,0.48936170212765956,1.7822323223578378,1.770786816731064e-07,20,-0.07668189101646974,0.975,0.16284134695928967,0.8401369569157385,0.20748869157312783,2.556444317841983,1.3419616672802244,1.4121943241023478,False
t_r,0.4,0.6,0.24,True,15,1.4272299310205414,2.4263851788390323,1.6177937579097534,6.265688281982789,2.07138134781711e-05,15,0.8339483394833949,0.40425531914893614,1.7502035285263238,2.3146985664959132e-07,20,-0.061164100807500975,0.9916666666666667,0.13787904171553023,0.859440506370807,0.1825263863293684,2.556444317841983,1.3419616672802244,1.4121943241023478,True
t_r,0.4,0.65,0.26,True,15,1.3769799520469321,2.3504553074550785,1.5844606912566452,6.1365898699572785,2.576872269582324e-05,15,0.7970479704797048,0.35106382978723405,1.7092768567822645,3.272400177555313e-07,20,-0.04671319322671531,1.0,0.11467582509633105,0.8824526205475302,0.15932316971016922,2.556444317841983,1.3419616672802244,1.4121943241023478,True
t_r,0.4,0.7,0.28,True,15,1.3170439373512697,2.2796599921545986,1.5105671786529584,5.850401526250432,4.2159800730464316e-05,15,0.7601476014760148,0.2872340425531915,1.6156519975769386,7.34870607163307e-07,20,-0.03172503516718993,1.0,0.09122131010219467,0.911118750713839,0.13586865471603285,2.556444317841983,1.3419616672802244,1.4121943241023478,True
t_r,0.4,0.75,0.3,True,15,1.2697272538978184,2.213155011147308,1.5619844321933873,6.049539692920236,2.9895393140064615e-05,15,0.7232472324723247,0.18085106382978725,1.651285707281607,5.386149400744894e-07,20,-0.020227817494961924,1.0,0.07094990785726252,0.9360678056269092,0.11559725247110068,2.556444317841983,1.3419616672802244,1.4121943241023478,True
t_r,0.4,0.8,0.32,True,15,1.2445867270004667,2.142177787335004,1.5629757058064004,6.053378879114972,2.969952428948066e-05,15,0.6715867158671587,0.1276595744680851,1.6261776798966456,6.701910485162826e-07,20,-0.014446567045281236,1.0,0.05411291673647177,0.9574598384563318,0.09876026135030994,2.556444317841983,1.3419616672802244,1.4121943241023478,True
t_r,0.4,0.85,0.34,True,15,1.231110495261453,2.079356376012186,1.520616905820649,5.889323952204826,3.940311829137046e-05,15,0.6309963099630996,0.11702127659574468,1.5811705963957843,9.958640511976515e-07,20,-0.009221186605377832,1.0,0.03853241749036689,0.9748000499545159,0.08317976210420507,2.556444317841983,1.3419616672802244,1.4121943241023478,True
