scale,m_t_c,m_t_cw,m_t_r,m_t_rw,m_t_min,dz,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,rho,top1,exemplar_RI,comparison_RI,frac_label_changed,hold,eeg_hold
0.1,0.476930334816899,0.30877187989727967,0.42123583385770325,0.18818436485697232,0.10965364886063628,1.4857161074569485,4.987822184270373e-05,15,0.4575645756457565,0.02127659574468085,0.03480064323525063,1.0,2.308674684862436,1.3808373715279398,0.02848048249287988,True,True
0.1,0.46732876029395665,0.2810254769631342,0.4071663010319526,0.2084558915955284,0.09226580485720169,1.3689321429865429,0.00011179318925521948,15,0.47601476014760147,0.031914893617021274,-0.062270989829922054,1.0,2.3538956213452322,1.3141401632443208,0.015999329871000167,True,True
0.1,0.5365166535298932,0.2827812228611657,0.3911324484735389,0.20054745831003584,0.10678157201698296,1.4651467214591427,5.738047058988362e-05,15,0.5055350553505535,0.031914893617021274,-0.011871499765157709,1.0,2.409396418726915,1.3401604245123764,0.014324007371418998,True,True
0.1,0.46166505150136,0.2857124988454165,0.41161097391369506,0.18464320382095412,0.09989268503269245,1.4020471492651645,8.867466217689344e-05,15,0.46863468634686345,0.02127659574468085,0.011771380333726883,1.0,2.3392759354420942,1.3924884700481082,0.013235047746691238,True,True
0.1,0.48616475465203113,0.28747530437101587,0.4018378724919012,0.2192435939720026,0.10130793987359342,1.4273540986729196,7.439757194352235e-05,15,0.4870848708487085,0.031914893617021274,-0.056000468288412555,1.0,2.3718484738832215,1.2786465548158596,0.01197855587200536,True,True
0.1,0.5028866489105853,0.319827794788793,0.4354257951380868,0.21149517466243553,0.0911020116946683,1.3355128242326464,0.00014155421458441413,15,0.43911439114391143,0.010638297872340425,-0.0289903714553394,1.0,2.266026676145068,1.3041403394342659,0.039705143240073716,True,True
0.1,0.49974453922263556,0.276851748382149,0.37101394396481424,0.18403895027935283,0.10752805950613341,1.5051526749646558,4.3727931194461475e-05,15,0.5645756457564576,0.06382978723404255,0.012081595447196426,1.0,2.4858219781054243,1.394476580013385,0.03233372424191657,True,True
0.1,0.503438399729296,0.32907566305686,0.36952251989702767,0.20237131905091033,0.10665852054687075,1.472431798341396,5.459693153826214e-05,15,0.5645756457564576,0.06382978723404255,0.023876236455076274,1.0,2.437062740593248,1.3341595731071858,0.03844865136538784,True,True
0.1,0.5128546251307873,0.278011225303184,0.3783298181192834,0.18640693807326686,0.09670171238821129,1.4220763541399557,7.716349165524297e-05,15,0.5461254612546126,0.06382978723404255,-0.004958539682640635,1.0,2.457090204697238,1.386685446314345,0.022030490869492377,True,True
0.1,0.48509364108133035,0.32223744607042637,0.3997585055962962,0.19669320075723976,0.09744227438206857,1.3995539534858092,9.022799172919628e-05,15,0.4907749077490775,0.031914893617021274,0.02016089946179168,1.0,2.378984222747712,1.3528416705819493,0.0153292008711677,True,True
0.1,0.5270105177943287,0.3015725439465947,0.37608830358019885,0.21401357024806794,0.10698415601265453,1.4660584042483777,5.702416150503633e-05,15,0.5498154981549815,0.06382978723404255,-0.02000708237713637,1.0,2.465774571766074,1.2958543352727738,0.02789411961802647,True,True
0.1,0.4872975870549704,0.2934805388700322,0.39023881702703833,0.18245945608133174,0.10718167854048613,1.4538417734127582,6.199700113407215e-05,15,0.5092250922509225,0.031914893617021274,0.02814366696746365,1.0,2.4126238807460822,1.3996734186564166,0.018847378120288156,True,True
